Pw_cl_graph_300000_2_0: nnz= 1199992, density= 1.3333244444444444e-05
Pw_cl_graph_300000_2_1: nnz= 1199992, density= 1.3333244444444444e-05
Pw_cl_graph_300000_2_2: nnz= 1199992, density= 1.3333244444444444e-05
Pw_cl_graph_300000_2_3: nnz= 1199992, density= 1.3333244444444444e-05
Pw_cl_graph_300000_2_4: nnz= 1199992, density= 1.3333244444444444e-05
Pw_cl_graph_300000_2_5: nnz= 1199992, density= 1.3333244444444444e-05
Pw_cl_graph_300000_2_6: nnz= 1199992, density= 1.3333244444444444e-05
Pw_cl_graph_300000_2_7: nnz= 1199992, density= 1.3333244444444444e-05
Pw_cl_graph_300000_2_8: nnz= 1199992, density= 1.3333244444444444e-05
Pw_cl_graph_300000_2_9: nnz= 1199992, density= 1.3333244444444444e-05
Pw_cl_graph_300000_4_0: nnz= 2399958, density= 2.66662e-05
Pw_cl_graph_300000_4_1: nnz= 2399956, density= 2.6666177777777778e-05
Pw_cl_graph_300000_4_2: nnz= 2399956, density= 2.6666177777777778e-05
Pw_cl_graph_300000_4_3: nnz= 2399958, density= 2.66662e-05
Pw_cl_graph_300000_4_4: nnz= 2399952, density= 2.6666133333333332e-05
Pw_cl_graph_300000_4_5: nnz= 2399956, density= 2.6666177777777778e-05
Pw_cl_graph_300000_4_6: nnz= 2399956, density= 2.6666177777777778e-05
Pw_cl_graph_300000_4_7: nnz= 2399950, density= 2.666611111111111e-05
Pw_cl_graph_300000_4_8: nnz= 2399954, density= 2.6666155555555557e-05
Pw_cl_graph_300000_4_9: nnz= 2399956, density= 2.6666177777777778e-05
Pw_cl_graph_300000_6_0: nnz= 3599878, density= 3.999864444444444e-05
Pw_cl_graph_300000_6_1: nnz= 3599894, density= 3.9998822222222225e-05
Pw_cl_graph_300000_6_2: nnz= 3599898, density= 3.999886666666667e-05
Pw_cl_graph_300000_6_3: nnz= 3599888, density= 3.999875555555556e-05
Pw_cl_graph_300000_6_4: nnz= 3599880, density= 3.999866666666667e-05
Pw_cl_graph_300000_6_5: nnz= 3599892, density= 3.99988e-05
Pw_cl_graph_300000_6_6: nnz= 3599892, density= 3.99988e-05
Pw_cl_graph_300000_6_7: nnz= 3599892, density= 3.99988e-05
Pw_cl_graph_300000_6_8: nnz= 3599864, density= 3.999848888888889e-05
Pw_cl_graph_300000_6_9: nnz= 3599900, density= 3.999888888888889e-05
Pw_cl_graph_300000_8_0: nnz= 4799808, density= 5.33312e-05
Pw_cl_graph_300000_8_1: nnz= 4799804, density= 5.333115555555555e-05
Pw_cl_graph_300000_8_2: nnz= 4799790, density= 5.3331e-05
Pw_cl_graph_300000_8_3: nnz= 4799782, density= 5.333091111111111e-05
Pw_cl_graph_300000_8_4: nnz= 4799792, density= 5.333102222222222e-05
Pw_cl_graph_300000_8_5: nnz= 4799792, density= 5.333102222222222e-05
Pw_cl_graph_300000_8_6: nnz= 4799766, density= 5.3330733333333334e-05
Pw_cl_graph_300000_8_7: nnz= 4799776, density= 5.333084444444444e-05
Pw_cl_graph_300000_8_8: nnz= 4799768, density= 5.333075555555556e-05
Pw_cl_graph_300000_8_9: nnz= 4799796, density= 5.333106666666667e-05
Pw_cl_graph_300000_10_0: nnz= 5999628, density= 6.666253333333333e-05
Pw_cl_graph_300000_10_1: nnz= 5999624, density= 6.666248888888889e-05
Pw_cl_graph_300000_10_2: nnz= 5999636, density= 6.666262222222223e-05
Pw_cl_graph_300000_10_3: nnz= 5999634, density= 6.66626e-05
Pw_cl_graph_300000_10_4: nnz= 5999680, density= 6.666311111111111e-05
Pw_cl_graph_300000_10_5: nnz= 5999678, density= 6.66630888888889e-05
Pw_cl_graph_300000_10_6: nnz= 5999624, density= 6.666248888888889e-05
Pw_cl_graph_300000_10_7: nnz= 5999648, density= 6.666275555555556e-05
Pw_cl_graph_300000_10_8: nnz= 5999662, density= 6.666291111111111e-05
Pw_cl_graph_300000_10_9: nnz= 5999644, density= 6.666271111111111e-05
Pw_cl_graph_310000_2_0: nnz= 1239992, density= 1.2903142559833508e-05
Pw_cl_graph_310000_2_1: nnz= 1239992, density= 1.2903142559833508e-05
Pw_cl_graph_310000_2_2: nnz= 1239992, density= 1.2903142559833508e-05
Pw_cl_graph_310000_2_3: nnz= 1239992, density= 1.2903142559833508e-05
Pw_cl_graph_310000_2_4: nnz= 1239992, density= 1.2903142559833508e-05
Pw_cl_graph_310000_2_5: nnz= 1239992, density= 1.2903142559833508e-05
Pw_cl_graph_310000_2_6: nnz= 1239992, density= 1.2903142559833508e-05
Pw_cl_graph_310000_2_7: nnz= 1239992, density= 1.2903142559833508e-05
Pw_cl_graph_310000_2_8: nnz= 1239992, density= 1.2903142559833508e-05
Pw_cl_graph_310000_2_9: nnz= 1239992, density= 1.2903142559833508e-05
Pw_cl_graph_310000_4_0: nnz= 2479946, density= 2.580588969823101e-05
Pw_cl_graph_310000_4_1: nnz= 2479966, density= 2.5806097814776274e-05
Pw_cl_graph_310000_4_2: nnz= 2479954, density= 2.5805972944849115e-05
Pw_cl_graph_310000_4_3: nnz= 2479940, density= 2.580582726326743e-05
Pw_cl_graph_310000_4_4: nnz= 2479956, density= 2.5805993756503642e-05
Pw_cl_graph_310000_4_5: nnz= 2479964, density= 2.5806077003121747e-05
Pw_cl_graph_310000_4_6: nnz= 2479944, density= 2.5805868886576483e-05
Pw_cl_graph_310000_4_7: nnz= 2479954, density= 2.5805972944849115e-05
Pw_cl_graph_310000_4_8: nnz= 2479960, density= 2.5806035379812696e-05
Pw_cl_graph_310000_4_9: nnz= 2479962, density= 2.580605619146722e-05
Pw_cl_graph_310000_6_0: nnz= 3719892, density= 3.8708553590010404e-05
Pw_cl_graph_310000_6_1: nnz= 3719882, density= 3.870844953173777e-05
Pw_cl_graph_310000_6_2: nnz= 3719880, density= 3.870842872008325e-05
Pw_cl_graph_310000_6_3: nnz= 3719900, density= 3.870863683662851e-05
Pw_cl_graph_310000_6_4: nnz= 3719886, density= 3.8708491155046826e-05
Pw_cl_graph_310000_6_5: nnz= 3719878, density= 3.870840790842872e-05
Pw_cl_graph_310000_6_6: nnz= 3719892, density= 3.8708553590010404e-05
Pw_cl_graph_310000_6_7: nnz= 3719906, density= 3.870869927159209e-05
Pw_cl_graph_310000_6_8: nnz= 3719890, density= 3.870853277835588e-05
Pw_cl_graph_310000_6_9: nnz= 3719896, density= 3.870859521331946e-05
Pw_cl_graph_310000_8_0: nnz= 4959774, density= 5.1610551508844956e-05
Pw_cl_graph_310000_8_1: nnz= 4959792, density= 5.161073881373569e-05
Pw_cl_graph_310000_8_2: nnz= 4959774, density= 5.1610551508844956e-05
Pw_cl_graph_310000_8_3: nnz= 4959782, density= 5.161063475546306e-05
Pw_cl_graph_310000_8_4: nnz= 4959796, density= 5.1610780437044744e-05
Pw_cl_graph_310000_8_5: nnz= 4959800, density= 5.16108220603538e-05
Pw_cl_graph_310000_8_6: nnz= 4959790, density= 5.1610718002081166e-05
Pw_cl_graph_310000_8_7: nnz= 4959764, density= 5.1610447450572324e-05
Pw_cl_graph_310000_8_8: nnz= 4959778, density= 5.1610593132154004e-05
Pw_cl_graph_310000_8_9: nnz= 4959806, density= 5.161088449531738e-05
Pw_cl_graph_310000_10_0: nnz= 6199688, density= 6.451288241415193e-05
Pw_cl_graph_310000_10_1: nnz= 6199630, density= 6.451227887617066e-05
Pw_cl_graph_310000_10_2: nnz= 6199616, density= 6.451213319458897e-05
Pw_cl_graph_310000_10_3: nnz= 6199640, density= 6.451238293444329e-05
Pw_cl_graph_310000_10_4: nnz= 6199644, density= 6.451242455775234e-05
Pw_cl_graph_310000_10_5: nnz= 6199652, density= 6.451250780437045e-05
Pw_cl_graph_310000_10_6: nnz= 6199638, density= 6.451236212278877e-05
Pw_cl_graph_310000_10_7: nnz= 6199642, density= 6.451240374609782e-05
Pw_cl_graph_310000_10_8: nnz= 6199666, density= 6.451265348595213e-05
Pw_cl_graph_310000_10_9: nnz= 6199620, density= 6.451217481789803e-05
Pw_cl_graph_320000_2_0: nnz= 1279992, density= 1.2499921875e-05
Pw_cl_graph_320000_2_1: nnz= 1279992, density= 1.2499921875e-05
Pw_cl_graph_320000_2_2: nnz= 1279992, density= 1.2499921875e-05
Pw_cl_graph_320000_2_3: nnz= 1279992, density= 1.2499921875e-05
Pw_cl_graph_320000_2_4: nnz= 1279992, density= 1.2499921875e-05
Pw_cl_graph_320000_2_5: nnz= 1279992, density= 1.2499921875e-05
Pw_cl_graph_320000_2_6: nnz= 1279992, density= 1.2499921875e-05
Pw_cl_graph_320000_2_7: nnz= 1279992, density= 1.2499921875e-05
Pw_cl_graph_320000_2_8: nnz= 1279992, density= 1.2499921875e-05
Pw_cl_graph_320000_2_9: nnz= 1279992, density= 1.2499921875e-05
Pw_cl_graph_320000_4_0: nnz= 2559966, density= 2.499966796875e-05
Pw_cl_graph_320000_4_1: nnz= 2559962, density= 2.499962890625e-05
Pw_cl_graph_320000_4_2: nnz= 2559950, density= 2.499951171875e-05
Pw_cl_graph_320000_4_3: nnz= 2559954, density= 2.499955078125e-05
Pw_cl_graph_320000_4_4: nnz= 2559956, density= 2.49995703125e-05
Pw_cl_graph_320000_4_5: nnz= 2559950, density= 2.499951171875e-05
Pw_cl_graph_320000_4_6: nnz= 2559962, density= 2.499962890625e-05
Pw_cl_graph_320000_4_7: nnz= 2559946, density= 2.499947265625e-05
Pw_cl_graph_320000_4_8: nnz= 2559962, density= 2.499962890625e-05
Pw_cl_graph_320000_4_9: nnz= 2559952, density= 2.499953125e-05
Pw_cl_graph_320000_6_0: nnz= 3839886, density= 3.749888671875e-05
Pw_cl_graph_320000_6_1: nnz= 3839884, density= 3.74988671875e-05
Pw_cl_graph_320000_6_2: nnz= 3839882, density= 3.749884765625e-05
Pw_cl_graph_320000_6_3: nnz= 3839878, density= 3.749880859375e-05
Pw_cl_graph_320000_6_4: nnz= 3839898, density= 3.749900390625e-05
Pw_cl_graph_320000_6_5: nnz= 3839896, density= 3.7498984375e-05
Pw_cl_graph_320000_6_6: nnz= 3839872, density= 3.749875e-05
Pw_cl_graph_320000_6_7: nnz= 3839880, density= 3.7498828125e-05
Pw_cl_graph_320000_6_8: nnz= 3839886, density= 3.749888671875e-05
Pw_cl_graph_320000_6_9: nnz= 3839884, density= 3.74988671875e-05
Pw_cl_graph_320000_8_0: nnz= 5119780, density= 4.99978515625e-05
Pw_cl_graph_320000_8_1: nnz= 5119778, density= 4.999783203125e-05
Pw_cl_graph_320000_8_2: nnz= 5119764, density= 4.99976953125e-05
Pw_cl_graph_320000_8_3: nnz= 5119790, density= 4.999794921875e-05
Pw_cl_graph_320000_8_4: nnz= 5119790, density= 4.999794921875e-05
Pw_cl_graph_320000_8_5: nnz= 5119790, density= 4.999794921875e-05
Pw_cl_graph_320000_8_6: nnz= 5119762, density= 4.999767578125e-05
Pw_cl_graph_320000_8_7: nnz= 5119812, density= 4.99981640625e-05
Pw_cl_graph_320000_8_8: nnz= 5119780, density= 4.99978515625e-05
Pw_cl_graph_320000_8_9: nnz= 5119750, density= 4.999755859375e-05
Pw_cl_graph_320000_10_0: nnz= 6399646, density= 6.249654296875e-05
Pw_cl_graph_320000_10_1: nnz= 6399644, density= 6.24965234375e-05
Pw_cl_graph_320000_10_2: nnz= 6399652, density= 6.24966015625e-05
Pw_cl_graph_320000_10_3: nnz= 6399628, density= 6.24963671875e-05
Pw_cl_graph_320000_10_4: nnz= 6399670, density= 6.249677734375e-05
Pw_cl_graph_320000_10_5: nnz= 6399660, density= 6.24966796875e-05
Pw_cl_graph_320000_10_6: nnz= 6399670, density= 6.249677734375e-05
Pw_cl_graph_320000_10_7: nnz= 6399656, density= 6.2496640625e-05
Pw_cl_graph_320000_10_8: nnz= 6399632, density= 6.249640625e-05
Pw_cl_graph_320000_10_9: nnz= 6399644, density= 6.24965234375e-05
Pw_cl_graph_330000_2_0: nnz= 1319992, density= 1.2121138659320477e-05
Pw_cl_graph_330000_2_1: nnz= 1319992, density= 1.2121138659320477e-05
Pw_cl_graph_330000_2_2: nnz= 1319992, density= 1.2121138659320477e-05
Pw_cl_graph_330000_2_3: nnz= 1319992, density= 1.2121138659320477e-05
Pw_cl_graph_330000_2_4: nnz= 1319992, density= 1.2121138659320477e-05
Pw_cl_graph_330000_2_5: nnz= 1319992, density= 1.2121138659320477e-05
Pw_cl_graph_330000_2_6: nnz= 1319992, density= 1.2121138659320477e-05
Pw_cl_graph_330000_2_7: nnz= 1319992, density= 1.2121138659320477e-05
Pw_cl_graph_330000_2_8: nnz= 1319992, density= 1.2121138659320477e-05
Pw_cl_graph_330000_2_9: nnz= 1319992, density= 1.2121138659320477e-05
Pw_cl_graph_330000_4_0: nnz= 2639956, density= 2.42420202020202e-05
Pw_cl_graph_330000_4_1: nnz= 2639944, density= 2.4241910009182735e-05
Pw_cl_graph_330000_4_2: nnz= 2639956, density= 2.42420202020202e-05
Pw_cl_graph_330000_4_3: nnz= 2639956, density= 2.42420202020202e-05
Pw_cl_graph_330000_4_4: nnz= 2639950, density= 2.4241965105601468e-05
Pw_cl_graph_330000_4_5: nnz= 2639948, density= 2.4241946740128558e-05
Pw_cl_graph_330000_4_6: nnz= 2639962, density= 2.4242075298438935e-05
Pw_cl_graph_330000_4_7: nnz= 2639946, density= 2.4241928374655648e-05
Pw_cl_graph_330000_4_8: nnz= 2639958, density= 2.4242038567493115e-05
Pw_cl_graph_330000_4_9: nnz= 2639956, density= 2.42420202020202e-05
Pw_cl_graph_330000_6_0: nnz= 3959896, density= 3.636268135904499e-05
Pw_cl_graph_330000_6_1: nnz= 3959872, density= 3.6362460973370066e-05
Pw_cl_graph_330000_6_2: nnz= 3959882, density= 3.636255280073462e-05
Pw_cl_graph_330000_6_3: nnz= 3959888, density= 3.636260789715335e-05
Pw_cl_graph_330000_6_4: nnz= 3959884, density= 3.636257116620753e-05
Pw_cl_graph_330000_6_5: nnz= 3959880, density= 3.6362534435261706e-05
Pw_cl_graph_330000_6_6: nnz= 3959896, density= 3.636268135904499e-05
Pw_cl_graph_330000_6_7: nnz= 3959880, density= 3.6362534435261706e-05
Pw_cl_graph_330000_6_8: nnz= 3959878, density= 3.63625160697888e-05
Pw_cl_graph_330000_6_9: nnz= 3959892, density= 3.636264462809917e-05
Pw_cl_graph_330000_8_0: nnz= 5279766, density= 4.8482699724517905e-05
Pw_cl_graph_330000_8_1: nnz= 5279782, density= 4.848284664830119e-05
Pw_cl_graph_330000_8_2: nnz= 5279800, density= 4.848301193755739e-05
Pw_cl_graph_330000_8_3: nnz= 5279784, density= 4.8482865013774105e-05
