Pw_cl_graph_200000_1.8_0: nnz= 3652196, density= 0.00011897782960277567
Pw_cl_graph_200000_1.8_1: nnz= 3284202, density= 0.00010650280662049072
Pw_cl_graph_200000_1.8_2: nnz= 2522248, density= 7.79814039765018e-05
Pw_cl_graph_200000_1.8_3: nnz= 1599038, density= 4.2052281393819856e-05
Pw_cl_graph_200000_1.8_4: nnz= 2644778, density= 8.379058857718178e-05
Pw_cl_graph_200000_1.8_5: nnz= 2261144, density= 6.809229996772603e-05
Pw_cl_graph_200000_1.8_6: nnz= 2920554, density= 9.4056616215393e-05
Pw_cl_graph_200000_1.8_7: nnz= 1956814, density= 5.866019235781903e-05
Pw_cl_graph_200000_1.8_8: nnz= 2487166, density= 7.899627440196906e-05
Pw_cl_graph_200000_1.8_9: nnz= 2428174, density= 7.242110823595338e-05
Pw_cl_graph_210000_1.8_0: nnz= 3680246, density= 0.00010860019595142769
Pw_cl_graph_210000_1.8_1: nnz= 2631142, density= 7.372442633630652e-05
Pw_cl_graph_210000_1.8_2: nnz= 3454628, density= 0.00010149646555301115
Pw_cl_graph_210000_1.8_3: nnz= 2610544, density= 6.992047751091313e-05
Pw_cl_graph_210000_1.8_4: nnz= 2025318, density= 5.110560100822099e-05
Pw_cl_graph_210000_1.8_5: nnz= 3268100, density= 9.55651146683726e-05
Pw_cl_graph_210000_1.8_6: nnz= 542890, density= 1.23133624174497e-05
Pw_cl_graph_210000_1.8_7: nnz= 3162696, density= 8.942616070281705e-05
Pw_cl_graph_210000_1.8_8: nnz= 1247370, density= 2.9226775789200273e-05
Pw_cl_graph_210000_1.8_9: nnz= 2322136, density= 6.534320527845188e-05
Pw_cl_graph_220000_1.8_0: nnz= 3625574, density= 9.643000660158452e-05
Pw_cl_graph_220000_1.8_1: nnz= 2210422, density= 5.348479613688478e-05
Pw_cl_graph_220000_1.8_2: nnz= 3408100, density= 9.022468255937891e-05
Pw_cl_graph_220000_1.8_3: nnz= 1985724, density= 4.5862550868776846e-05
Pw_cl_graph_220000_1.8_4: nnz= 3831358, density= 0.00010287293364037417
Pw_cl_graph_220000_1.8_5: nnz= 1661580, density= 3.618677446397597e-05
Pw_cl_graph_220000_1.8_6: nnz= 2896596, density= 7.541231277153598e-05
Pw_cl_graph_220000_1.8_7: nnz= 3815580, density= 0.00010264066903476011
Pw_cl_graph_220000_1.8_8: nnz= 3046606, density= 7.94904833717343e-05
Pw_cl_graph_220000_1.8_9: nnz= 2260978, density= 5.461777287723434e-05
Pw_cl_graph_230000_1.8_0: nnz= 3609252, density= 8.69549771351362e-05
Pw_cl_graph_230000_1.8_1: nnz= 2388874, density= 4.979094254472233e-05
Pw_cl_graph_230000_1.8_2: nnz= 3460468, density= 8.318088526396062e-05
Pw_cl_graph_230000_1.8_3: nnz= 3016728, density= 6.967074113074392e-05
Pw_cl_graph_230000_1.8_4: nnz= 2957754, density= 7.070327325062725e-05
Pw_cl_graph_230000_1.8_5: nnz= 2199596, density= 4.96455109740218e-05
Pw_cl_graph_230000_1.8_6: nnz= 3521436, density= 8.384781812533911e-05
Pw_cl_graph_230000_1.8_7: nnz= 2274364, density= 5.0933489439657804e-05
Pw_cl_graph_230000_1.8_8: nnz= 2748218, density= 6.15184775744524e-05
