Pw_cl_graph_200000_2.2_0: nnz= 1012808, density= 3.642509112093898e-05
Pw_cl_graph_200000_2.2_1: nnz= 1048672, density= 3.7753400099138305e-05
Pw_cl_graph_200000_2.2_2: nnz= 1046052, density= 3.75144300209279e-05
Pw_cl_graph_200000_2.2_3: nnz= 1045090, density= 3.7308144448172556e-05
Pw_cl_graph_200000_2.2_4: nnz= 1015050, density= 3.6594330593476547e-05
Pw_cl_graph_200000_2.2_5: nnz= 1024766, density= 3.693485096204744e-05
Pw_cl_graph_200000_2.2_6: nnz= 1021812, density= 3.666575113598109e-05
Pw_cl_graph_200000_2.2_7: nnz= 982050, density= 3.537997633897208e-05
Pw_cl_graph_200000_2.2_8: nnz= 990310, density= 3.576594797607857e-05
Pw_cl_graph_200000_2.2_9: nnz= 1034598, density= 3.709166091583958e-05
Pw_cl_graph_210000_2.2_0: nnz= 1050752, density= 3.430007660786993e-05
Pw_cl_graph_210000_2.2_1: nnz= 1082588, density= 3.5277204673441364e-05
Pw_cl_graph_210000_2.2_2: nnz= 1028264, density= 3.350853343282307e-05
Pw_cl_graph_210000_2.2_3: nnz= 1105496, density= 3.609741602835241e-05
Pw_cl_graph_210000_2.2_4: nnz= 1054282, density= 3.429332921339346e-05
Pw_cl_graph_210000_2.2_5: nnz= 1059892, density= 3.4596460250092675e-05
Pw_cl_graph_210000_2.2_6: nnz= 1081010, density= 3.526563225951443e-05
Pw_cl_graph_210000_2.2_7: nnz= 1040540, density= 3.406630319345745e-05
Pw_cl_graph_210000_2.2_8: nnz= 1085256, density= 3.526865004719425e-05
Pw_cl_graph_210000_2.2_9: nnz= 1047088, density= 3.422895426600644e-05
Pw_cl_graph_220000_2.2_0: nnz= 1179176, density= 3.49475761746578e-05
Pw_cl_graph_220000_2.2_1: nnz= 1139210, density= 3.388325419356278e-05
Pw_cl_graph_220000_2.2_2: nnz= 1094984, density= 3.260980836144819e-05
Pw_cl_graph_220000_2.2_3: nnz= 1103522, density= 3.274103577758974e-05
Pw_cl_graph_220000_2.2_4: nnz= 1125132, density= 3.338292277146286e-05
Pw_cl_graph_220000_2.2_5: nnz= 1131898, density= 3.352302053243198e-05
Pw_cl_graph_220000_2.2_6: nnz= 1177402, density= 3.4871834968451414e-05
Pw_cl_graph_220000_2.2_7: nnz= 1146272, density= 3.4076198066080014e-05
Pw_cl_graph_220000_2.2_8: nnz= 1163968, density= 3.454385063442266e-05
Pw_cl_graph_220000_2.2_9: nnz= 1130338, density= 3.3542136147255835e-05
Pw_cl_graph_230000_2.2_0: nnz= 1206272, density= 3.250549746033917e-05
Pw_cl_graph_230000_2.2_1: nnz= 1155378, density= 3.142242940356646e-05
Pw_cl_graph_230000_2.2_2: nnz= 1182942, density= 3.209202974884707e-05
Pw_cl_graph_230000_2.2_3: nnz= 1208526, density= 3.287850763521295e-05
Pw_cl_graph_230000_2.2_4: nnz= 1169658, density= 3.182340953458729e-05
Pw_cl_graph_230000_2.2_5: nnz= 1193116, density= 3.242678953347273e-05
Pw_cl_graph_230000_2.2_6: nnz= 1021850, density= 2.417898696413903e-05
